estados,governador,governo
Maranhao,@FlavioDino,@GovernoMA
Sao Paulo,@jdoriajr,@governosp
Distrito Federal,@IbaneisOficial,@Gov_DF
Minas Gerais,@RomeuZema,@governomg
Amazonas,@wilsonlimaAM,@AmazonasGoverno
Tocantins,@maurocarlesse,@governoTO
Parana,@ratinho_jr,@governoparana
Paraiba,@joaoazevedolins,@govparaiba
Acre,@GladsonCameli,@GovernoAcre
Rio de Janeiro,@claudiocastroRJ,@GovRJ
Federal,@jairbolsonaro,@minsaude
Mato Grosso,@MauroMendes40,@govmatogrosso
Ceara,@CamiloSantanaCE,@GovernoDoCeara
Rio Grande do Sul,@EduardoLeite_,@governo_rs